ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAIDS	LEXSTATIDS
1308	Kulina	DIRTY	oba	oba	o b a	DIRTY	579	566	7 1 7	XBZ	UPA	5	5.U.V 5.P.C 5.A.V	1.5 1.75 0.8	oba	0	651	651
1650	Paumari	DIRTY	ʔbiiʃa	ʔbiiʃa	ɓ iː ʃ a	DIRTY	14	14	1 7 3 7	AXBZ	PISA	6	6.P.C 6.I.V 6.S.C 6.A.V	2.0 1.5 1.75 0.8	ɓiːʃa	0	650	650
10051	Sorowaha	DIRTY	asa / kasiikɨ	asa	a s a	DARK	676	627	7 3 7	XBZ	ASA	7	7.A.V 7.S.C 7.A.V	1.5 1.75 0.8	asa	1	650	652
10121	Sorowaha	DIRTY	asa / kasiikɨ	kasiikɨ	k a s iː k ɨ	DIRTY	743	705	1 7 3 7 1 7	AXBYBZ	KASIKI	7	7.K.C 7.A.V 7.S.C 7.I.V 7.K.C 7.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kasiːkɨ	0	650	654
613	Deni	DISAPPEAR	phiri	phiri	pʰ i r i	DISAPPEAR	159	159	1 7 5 7	AXBZ	PIRI	2	2.P.C 2.I.V 2.R.C 2.I.V	2.0 1.5 1.75 0.8	pʰiri	0	657	657
1825	Paumari	DISAPPEAR	ʔbiri	ʔbiri	ɓ i r i	DISAPPEAR	159	159	1 7 5 7	AXBZ	PIRI	6	6.P.C 6.I.V 6.R.C 6.I.V	2.0 1.5 1.75 0.8	ɓiri	0	657	657
10075	Sorowaha	DISAPPEAR	suwana	suwana	s u w a n a	DISAPPEAR	708	650	3 7 6 7 4 7	AXBYBZ	SYWANA	7	7.S.C 7.Y.V 7.W.C 7.A.V 7.N.C 7.A.V	2.0 1.5 1.75 1.3 1.75 0.8	suwana	0	658	658
947	Jarawara	DOG	jomee	jomee	j o m eː	JAGUAR	504	90	6 7 4 7	AXBZ	JUME	4	4.J.C 4.U.V 4.M.C 4.E.V	2.0 1.5 1.75 0.8	jomeː	0	661	662
1309	Kulina	DOG	ɛt̪ʰɛ	ɛt̪ʰɛ	ɛ t̪ʰ ɛ	DOG	505	490	7 1 7	XBZ	ETE	5	5.E.V 5.T.C 5.E.V	1.5 1.75 0.8	ɛt̪ʰɛ	0	662	663
10185	Paumari	DOG	jomahi vaovaoha	jomahi vaovaoha	j o m a h i + v ao v ao h a	JAGUAR onomatopoeic	504	90 742	6 7 4 7 3 7 9 3 7 3 7 3 7	AXBYBZ_AXBYBZ	JUMAHI_BABAHA	6	6.J.C 6.U.V 6.M.C 6.A.V 6.H.C 6.I.V 6._._ 6.B.C 6.A.V 6.B.C 6.A.V 6.H.C 6.A.V	2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8	jomahi+vaovaoha	0	661 663	662 664
10186	Deni	DOG	meze	meze	m e z e	DOG	781	489	4 7 3 7	AXBZ	MESE	2	2.M.C 2.E.V 2.S.C 2.E.V	2.0 1.5 1.75 0.8	meze	0	661	661
265	Banawa	DOOR	nokho	nokho	n o k h o	DOOR	146	146	4 7 1 3 7	AXBCZ	NUKHU	1	1.N.C 1.U.V 1.K.C 1.H.C 1.U.V	2.0 1.5 1.75 1.5 0.8	nokho	0	667	667
604	Deni	DOOR	nokho	nokho	n o k h o	DOOR	146	146	4 7 1 3 7	AXBCZ	NUKHU	2	2.N.C 2.U.V 2.K.C 2.H.C 2.U.V	2.0 1.5 1.75 1.5 0.8	nokho	0	667	667
872	Jamamadi	DOOR	nokobi	nokobi	n o k o b i	DOOR	146	146	4 7 1 7 1 7	AXBYBZ	NUKUPI	3	3.N.C 3.U.V 3.K.C 3.U.V 3.P.C 3.I.V	2.0 1.5 1.75 1.3 1.75 0.8	nokobi	0	667	667
1236	Jarawara	DOOR	nokho	nokho	n o k h o	DOOR	146	146	4 7 1 3 7	AXBCZ	NUKHU	4	4.N.C 4.U.V 4.K.C 4.H.C 4.U.V	2.0 1.5 1.75 1.5 0.8	nokho	0	667	667
1614	Kulina	DOOR	nokʰobihi	nokʰobihi	n o kʰ o b i h i	DOOR	146	146	4 7 1 7 1 7 3 7	AXBYBYBZ	NUKUPIHI	5	5.N.C 5.U.V 5.K.C 5.U.V 5.P.C 5.I.V 5.H.C 5.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	nokʰobihi	0	667	667
414	Deni	DOVE	okoko	okoko	o k o k o	PIGEON	306	306	7 1 7 1 7	XBYBZ	UKUKU	2	2.U.V 2.K.C 2.U.V 2.K.C 2.U.V	1.5 1.75 1.3 1.75 0.8	okoko	0	673	673
550	Deni	DOVE	kamowa	kamowa	k a m o w a	DOVE.SP.	98	98	1 7 4 7 6 7	AXBYBZ	KAMUWA	2	2.K.C 2.A.V 2.M.C 2.U.V 2.W.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kamowa	0	674	674
661	Jamamadi	DOVE	okoko	okoko	o k o k o	PIGEON	307	307	7 1 7 1 7	XBYBZ	UKUKU	3	3.U.V 3.K.C 3.U.V 3.K.C 3.U.V	1.5 1.75 1.3 1.75 0.8	okoko	0	673	673
948	Jarawara	DOVE	okoko	okoko	o k o k o	PIGEON	307	307	7 1 7 1 7	XBYBZ	UKUKU	4	4.U.V 4.K.C 4.U.V 4.K.C 4.U.V	1.5 1.75 1.3 1.75 0.8	okoko	0	673	673
1406	Kulina	DOVE	okoko	okoko	o k o k o	PIGEON	306	306	7 1 7 1 7	XBYBZ	UKUKU	5	5.U.V 5.K.C 5.U.V 5.K.C 5.U.V	1.5 1.75 1.3 1.75 0.8	okoko	0	673	673
1793	Paumari	DOVE	kamoa	kamoa	k a m o a	DOVE.SP.	98	98	1 7 4 7 7	AXBYZ	KAMUA	6	6.K.C 6.A.V 6.M.C 6.U.V 6.A.V	2.0 1.5 1.75 1.3 0.8	kamoa	0	674	674
5070	Deni	DREAM	wadari	wadari	w a d a r i	DREAM	194	194	6 7 1 7 5 7	AXBYBZ	WATARI	2	2.W.C 2.A.V 2.T.C 2.A.V 2.R.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	wadari	0	680	680
5071	Jarawara	DREAM	watari	watari	w a t a r i	DREAM	194	194	6 7 1 7 5 7	AXBYBZ	WATARI	4	4.W.C 4.A.V 4.T.C 4.A.V 4.R.C 4.I.V	2.0 1.5 1.75 1.3 1.75 0.8	watari	0	680	680
5072	Banawa	DREAM	wadari	wadari	w a d a r i	DREAM	194	194	6 7 1 7 5 7	AXBYBZ	WATARI	1	1.W.C 1.A.V 1.T.C 1.A.V 1.R.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	wadari	0	680	680
5073	Sorowaha	DREAM	waɾa	waɾa	w a ɾ a	DREAM	194	194	6 7 5 7	AXBZ	WARA	7	7.W.C 7.A.V 7.R.C 7.A.V	2.0 1.5 1.75 0.8	waɾa	0	680	680
10090	Sorowaha	DREAM	waɾamɨ	waɾamɨ	w a ɾ a m ɨ	DREAM	194	194	6 7 5 7 4 7	AXBYBZ	WARAMI	7	7.W.C 7.A.V 7.R.C 7.A.V 7.M.C 7.I.V	2.0 1.5 1.75 1.3 1.75 0.8	waɾamɨ	0	680	680
152	Banawa	DRINK	ɸawa	ɸawa	ɸ a w a	DRINK	315	315	3 7 6 7	AXBZ	BAWA	1	1.B.C 1.A.V 1.W.C 1.A.V	2.0 1.5 1.75 0.8	ɸawa	0	686	686
468	Deni	DRINK	powa	powa	p o w a	DRINK	315	315	1 7 6 7	AXBZ	PUWA	2	2.P.C 2.U.V 2.W.C 2.A.V	2.0 1.5 1.75 0.8	powa	0	686	686
757	Jamamadi	DRINK	ɸawa	ɸawa	ɸ a w a	DRINK	315	315	3 7 6 7	AXBZ	BAWA	3	3.B.C 3.A.V 3.W.C 3.A.V	2.0 1.5 1.75 0.8	ɸawa	0	686	686
1467	Kulina	DRINK	dzɛ	dzɛ	dz ɛ	DRINK	533	523	2 7	AX	CE	5	5.C.C 5.E.V	2.0 1.5	dzɛ	0	687	687
1736	Paumari	DRINK	ʔaβi	ʔaβi	ʔ a β i	DRINK	534	524	1 7 3 7	AXBZ	HABI	6	6.H.C 6.A.V 6.B.C 6.I.V	2.0 1.5 1.75 0.8	ʔaβi	0	686	686
1905	Sorowaha	DRINK	hawɨ	hawɨ	h a w ɨ	DRINK	534	524	3 7 6 7	AXBZ	HAWI	7	7.H.C 7.A.V 7.W.C 7.I.V	2.0 1.5 1.75 0.8	hawɨ	0	686	686
10087	Sorowaha	DROWN	ugunidʒa	ugunidʒa	u g u n i dʒ a	DROWN	719	661	7 1 7 4 7 1 7	XBYBYBZ	YKYNITA	7	7.Y.V 7.K.C 7.Y.V 7.N.C 7.I.V 7.T.C 7.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ugunidʒa	0	693	693
55	Banawa	DRY	hoko	hoko	h o k o	DRY	234	234	3 7 1 7	AXBZ	HUKU	1	1.H.C 1.U.V 1.K.C 1.U.V	2.0 1.5 1.75 0.8	hoko	0	695	695
331	Deni	DRY	hoko / kukutunade	hoko	h o k o	DRY	234	234	3 7 1 7	AXBZ	HUKU	2	2.H.C 2.U.V 2.K.C 2.U.V	2.0 1.5 1.75 0.8	hoko	0	695	695
