ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Banawa-596_swell-1,,Banawa,596_swell,ɸoo / waara,ɸoo,ɸ oo,,ladefoged1997phonetic,,,,,SWELL,316,316
Banawa-596_swell-2,,Banawa,596_swell,ɸoo / waara,waara,w aa r a,,ladefoged1997phonetic,,,,,SWELL,1341,1301
Deni-609_that-1,,Deni,609_that,a,a,a,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,THAT,602,587
Jarawara-609_that-1,,Jarawara,609_that,ɸa,ɸa,ɸ a,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,THAT,603,588
Banawa-609_that-1,,Banawa,609_that,hai / ɸai / ta,ɸai,ɸ ai,,ladefoged1997phonetic,,,,,THAT,603,588
Banawa-609_that-2,,Banawa,609_that,hai / ɸai / ta,hai,h ai,,ladefoged1997phonetic,,,,,THAT,603,588
Banawa-609_that-3,,Banawa,609_that,hai / ɸai / ta,ta,t a,,ladefoged1997phonetic,,,,,THAT,1363,1327
Arasairi-609_that-1,,Arasairi,609_that,iin,iin,ii n,,aza1933arasairi,,,,,THAT,1660,1646
Deni-612_thick-1,,Deni,612_thick,napide,napide,n a p i d e,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,THICK,604,589
Banawa-612_thick-1,,Banawa,612_thick,baji,baji,b a j i,,ladefoged1997phonetic,,,,,THICK,488,472
Jamamadi-612_thick-1,,Jamamadi,612_thick,baji,baji,b a j i,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,THICK,488,472
Jarawara-612_thick-1,,Jarawara,612_thick,baji,baji,b a j i,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,THICK,488,472
Arasairi-612_thick-1,,Arasairi,612_thick,uajairi,uajairi,u a j a i r i,,aza1933arasairi,,,,,THICK,1661,1647
Deni-613_thin-1,,Deni,613_thin,tsʰeperi,tsʰeperi,tsʰ e p e r i,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,THIN,606,591
Kulina-613_thin-1,,Kulina,613_thin,wɛɾi,wɛɾi,w ɛ ɾ i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,THIN,606,591
Paumari-613_thin-1,,Paumari,613_thin,tʃapi,tʃapi,tʃ a p i,,dixon2004proto;chapman1998dicionario,,,,,THIN,605,590
Banawa-613_thin-1,,Banawa,613_thin,jiɸarona,jiɸarona,j i ɸ a r o n a,,ladefoged1997phonetic,,,,,THIN,1364,1328
Deni-621_throat-1,,Deni,621_throat,tamidi,tamidi,t a m i d i,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,THROAT,607,405
Kulina-621_throat-1,,Kulina,621_throat,tamidi,tamidi,t̪ a m i d i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,THROAT,607,405
Paumari-621_throat-1,,Paumari,621_throat,nabidi,nabidi,n a b i ɗ i,,dixon2004proto;chapman1998dicionario,,,,,THROAT,607,405
Banawa-621_throat-1,,Banawa,621_throat,namidi,namidi,n a m i d i,,ladefoged1997phonetic,,,,,THROAT,607,405
Arasairi-621_throat-1,,Arasairi,621_throat,uaan,uaan,u aa n,,aza1933arasairi,,,,,THROAT,1662,1648
