# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS
44472	Deni	buttocks	mata	mata	m a t a	BUTTOCKS	133	133
44473	Jarawara	buttocks	mate	mate	m a t e	BUTTOCKS	133	133
44474	Banawa	buttocks	mate	mate	m a t e	BUTTOCKS	133	133
44475	Jamamadi	buttocks	mate	mate	m a t e	BUTTOCKS	133	133
#
1598	Jarawara	cangati	moro	moro	m o r o	FISH	0	689
#
165	Banawa	capuchin monkey	jowi	jowi	j o w i	CAPUCHIN.MONKEY	263	263
166	Jarawara	capuchin monkey	jowi	jowi	j o w i	CAPUCHIN.MONKEY	263	263
168	Deni	capuchin monkey	jowihi	jowihi	j o w i h i	CAPUCHIN.MONKEY	263	263
169	Jamamadi	capuchin monkey	jowihi	jowihi	j o w i h i	CAPUCHIN.MONKEY	263	263
170	Kulina	capuchin monkey	jowihi	jowihi	j o w i h i	CAPUCHIN.MONKEY	263	263
1585	Jarawara	capuchin monkey	kiso	kiso	k i s o	CAPUCHIN.MONKEY	108	108
1586	Banawa	capuchin monkey	kiso	kiso	k i s o	CAPUCHIN.MONKEY	108	108
1587	Jamamadi	capuchin monkey	kiso	kiso	k i s o	CAPUCHIN.MONKEY	108	108
#
171	Kulina	cará	biha	biha	b i h a	CARÁ	330	330
172	Deni	cará	biha	biha	b i h a	CARÁ	330	330
173	Jarawara	cará	biha	biha	b i h a	CARÁ	330	330
174	Banawa	cará	biha	biha	b i h a	CARÁ	330	330
175	Jamamadi	cará	biha	biha	b i h a	CARÁ	330	330
#
44548	Deni	cará (fish sp.)	otawi	otawi	o t a w i	CARÁ.(FISH.SP.)	149	149
44549	Jarawara	cará (fish sp.)	ote	ote	o t e	CARÁ.(FISH.SP.)	149	149
44550	Banawa	cará (fish sp.)	ote	ote	o t e	CARÁ.(FISH.SP.)	149	149
44551	Jamamadi	cará (fish sp.)	ote	ote	o t e	CARÁ.(FISH.SP.)	149	149
#
176	Banawa	cashew	ajawa	ajawa	a j a w a	CASHEW	205	205
177	Jarawara	cashew	ajawa	ajawa / winika	a j a w a	CASHEW	205	205
180	Jarawara	cashew	winika	ajawa / winika	w i n i k a	CASHEW	205	205
181	Jamamadi	cashew	winika	winika	w i n i k a	CASHEW	205	205
#
184	Banawa	catch	wata	wata	w a t a	CATCH	235	235
185	Jamamadi	catch	wata	wata	w a t a	CATCH	235	235
186	Jarawara	catch	wata	wata	w a t a	CATCH	235	235
#
187	Jarawara	cheek	ebete	ebete	e b e t e	CHEEK	331	331
188	Banawa	cheek	ebete	ebete	e b e t e	CHEEK	331	331
189	Jamamadi	cheek	ebete	ebete	e b e t e	CHEEK	331	331
190	Kulina	cheek	ebethe	ebethe	e b e t h e	CHEEK	331	331
#
191	Deni	chest	bakho	bakho	b a k h o	CHEST	21	21
192	Kulina	chest	bakho	bakho	b a k h o	CHEST	21	21
193	Banawa	chest	baki	baki	b a k i	CHEST	21	21
194	Jamamadi	chest	baki	baki	b a k i	CHEST	21	21
195	Jarawara	chest	baki	baki	b a k i	CHEST	21	21
#
197	Kulina	child	ehedeni	ehedeni	e h e d e n i	CHILD	0	0
198	Jarawara	child	inamatewe	inamatewe	i n a m a t e w e	CHILD	0	0
#
1548	Kulina	chin	anada	anada	a n a d a	CHIN	100	100
1549	Deni	chin	anada	anada	a n a d a	CHIN	100	100
1550	Jarawara	chin	anate	anate	a n a t e	CHIN	100	100
1551	Banawa	chin	anade	anade	a n a d e	CHIN	100	100
1552	Jamamadi	chin	anade	anade	a n a d e	CHIN	100	100
#
199	Banawa	close	boko	boko	b o k o	CLOSE	32	32
200	Deni	close	boko	boko	b o k o	CLOSE	32	32
201	Jarawara	close	boko	boko	b o k o	CLOSE	32	32
202	Kulina	close	boko	boko	b o k o	CLOSE	32	32
#
203	Kulina	cloud	meme eshe	meme eshe	m e m e + e s h e	CLOUD	0	1001 1002
204	Jarawara	cloud	sabi	sabi	s a b i	CLOUD	0	0
#
1531	Kulina	coati	jotomi	jotomi	j o t o m i	COATI	96	96
1532	Deni	coati	jotomi	jotomi	j o t o m i	COATI	96	96
1533	Jarawara	coati	jotomi	jotomi	j o t o m i	COATI	96	96
1534	Banawa	coati	jotomi	jotomi	j o t o m i	COATI	96	96
1535	Jamamadi	coati	jotomi	jotomi	j o t o m i	COATI	96	96
#
205	Deni	cold	mimide	mimide	m i m i d e	COLD	0	0
206	Kulina	cold	shiri	shiri	s h i r i	COLD	0	0
#
207	Jarawara	companion	tase	tase	t a s e	COMPANION	332	332
208	Banawa	companion	tase	tase	t a s e	COMPANION	332	332
209	Jamamadi	companion	tese	tese	t e s e	COMPANION	332	332
210	Kulina	companion	teshe	teshe	t e s h e	COMPANION	332	332
#
3334	Jarawara	container for	wije	wije	w i j e	unknown10	0	500
3335	Banawa	container for	wije	wije	w i j e	unknown10	0	500
3336	Jamamadi	container for	wije	wije	w i j e	unknown10	0	500
#
1300	Kulina	cook	kaari	kaari	k a a r i	COOK	0	0
1301	Deni	cook	kaʔa	kaʔa	k a ʔ a	COOK	0	0
#
211	Deni	corpse	abapo	abapo	a b a p o	CORPSE	0	0
#
212	Deni	correct	naniarini	naniarini	n a n i a r i n i	CORRECT	0	0
#
214	Kulina	cough	thoho	thoho	t h o h o	COUGH	333	333
215	Deni	cough	thoho	thoho	t h o h o	COUGH	333	333
216	Jarawara	cough	toho	toho	t o h o	COUGH	333	333
217	Banawa	cough	toho	toho	t o h o	COUGH	333	333
218	Jamamadi	cough	toho	toho	t o h o	COUGH	333	333
#
220	Jamamadi	crab	amo	amo	a m o	CRAB	7	7
221	Kulina	crab	amo	amo	a m o	CRAB	7	7
#
1014	Banawa	cry	ohi	ohi	o h i	CRY	304	304
1015	Deni	cry	ohi	ohi	o h i	CRY	304	304
1016	Jamamadi	cry	ohi	ohi	o h i	CRY	304	304
1017	Jarawara	cry	ohi	ohi	o h i	CRY	304	304
1018	Kulina	cry	ohi	ohi	o h i	CRY	304	304
#
1019	Deni	cut	ka	ka	k a	CUT	265	265
1020	Kulina	cut	ka	ka	k a	CUT	265	265
1021	Banawa	cut	kaa	kaa	k a a	CUT	265	265
1022	Jamamadi	cut	kaa	kaa	k a a	CUT	265	265
1023	Jarawara	cut	kaa	kaa	k a a	CUT	265	265
1024	Kulina	cut	wishi	wishi	w i s h i	CUT	265	265
#
223	Jarawara	day	jia	jia	j i a	DAY	0	0
224	Deni	day	vada	vada	v a d a	DAY	0	0
#
225	Deni	deer	bado	bado	b a d o	DEER	214	214
226	Kulina	deer	bado	bado	b a d o	DEER	214	214
227	Banawa	deer	badoe	badoe	b a d o e	DEER	214	214
228	Jamamadi	deer	bato	bato	b a t o	DEER	214	214
